Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,Reti,Assist,G+A,Amm.,Esp.,xG,npxG,xAG
401,Pedro Obiang,EQG,Cen,Sassuolo,32,1992,6,4,329,0,0,0,1,0,0.0,0.0,0.6
402,Guillermo Ochoa,MEX,Por,Salernitana,38,1985,21,21,"1,890",0,0,0,0,0,0.0,0.0,0.0
403,Jens Odgaard,DEN,Att,Bologna,25,1999,8,4,332,2,0,2,1,0,1.4,1.4,0.1
404,Noah Okafor,SUI,Att,Milan,23,2000,27,5,827,6,2,8,1,0,3.7,3.7,1.2
405,David Okereke,NGA,Att,Torino,26,1997,8,3,246,0,0,0,0,0,0.2,0.2,0.1
406,Caleb Okoli,ITA,Dif,Frosinone,22,2001,32,30,"2,734",0,1,1,9,0,0.5,0.5,0.8
407,Maduka Okoye,NGA,Por,Udinese,24,1999,19,19,"1,710",0,0,0,2,0,0.0,0.0,0.0
408,Mathías Olivera,URU,Dif,Napoli,26,1997,21,16,"1,389",1,1,2,3,0,0.4,0.4,0.7
409,Gaetano Oristanio,ITA,Att,Cagliari,21,2002,25,11,"1,104",2,1,3,1,0,1.8,1.8,1.1
410,Riccardo Orsolini,ITA,Att,Bologna,27,1997,31,18,"1,711",10,2,12,2,0,7.3,5.0,4.0
411,Victor Osimhen,NGA,Att,Napoli,25,1998,24,22,"1,956",15,3,18,6,1,15.3,11.4,3.1
412,Remi Oudin,FRA,Cen,Lecce,27,1996,29,21,"1,769",3,2,5,3,0,1.7,1.7,5.6
413,Anthony Oyono,GAB,Dif,Frosinone,23,2001,16,14,"1,198",0,1,1,4,0,0.1,0.1,0.9
414,Simone Pafundi,ITA,Cen,Udinese,18,2006,1,0,8,0,0,0,0,0,0.0,0.0,0.0
415,Riccardo Pagano,ITA,Cen,Roma,19,2004,4,0,51,0,0,0,0,0,0.1,0.1,0.0
416,Christos Papadopoulos,GRE,Att,Genoa,19,2004,1,0,4,0,0,0,0,0,0.0,0.0,0.0
417,Leandro Paredes,ARG,Cen,Roma,29,1994,33,31,"2,563",3,5,8,14,0,3.3,0.9,2.1
418,Fabiano Parisi,ITA,Dif,Fiorentina,23,2000,20,16,"1,441",0,1,1,4,0,0.9,0.9,2.3
419,Mario Pašalić,CRO,Cen,Atalanta,29,1995,31,20,"1,804",5,6,11,2,0,5.5,4.7,3.8
420,Triantafyllos Pasaridīs,GRE,Dif,Salernitana,27,1996,7,4,362,0,0,0,3,0,,,
421,Patric,ESP,Dif,Lazio,31,1993,19,18,"1,518",2,0,2,4,0,1.4,1.4,0.1
422,Rui Patrício,POR,Por,Roma,36,1988,23,23,"2,070",0,0,0,1,0,0.0,0.0,0.0
423,Benjamin Pavard,FRA,Dif,Inter,28,1996,22,20,"1,582",0,2,2,6,0,0.7,0.7,1.2
424,Leonardo Pavoletti,ITA,Att,Cagliari,35,1988,19,5,628,4,1,5,4,0,2.6,2.6,0.3
425,Martín Payero,ARG,Cen,Udinese,25,1998,27,19,"1,616",2,2,4,6,1,1.5,1.5,0.9
426,Marcus Pedersen,NOR,Dif,Sassuolo,23,2000,26,16,"1,581",0,2,2,4,0,0.1,0.1,1.0
427,Pedro,ESP,Att,Lazio,36,1987,32,5,815,1,1,2,4,0,1.5,1.5,2.1
428,Pietro Pellegri,ITA,Att,Torino,23,2001,22,5,621,1,0,1,3,0,0.8,0.8,0.0
429,Lorenzo Pellegrini,ITA,Cen,Roma,27,1996,27,19,"1,776",8,3,11,7,0,4.6,3.9,2.3
430,Luca Pellegrini,ITA,Dif,Lazio,25,1999,17,6,651,1,0,1,7,1,0.2,0.2,0.0
431,Marco Pellegrino,,Dif,Salernitana,,,9,5,529,0,0,0,1,0,0.0,0.0,0.0
433,Pepín,EQG,Cen,Monza,27,1996,10,2,241,0,0,0,2,0,0.2,0.2,0.1
434,Pedro Pereira,POR,Dif,Monza,26,1998,21,8,756,0,2,2,3,0,0.2,0.2,0.8
435,Roberto Pereyra,ARG,Att,Udinese,33,1991,27,22,"1,858",4,3,7,6,0,3.5,2.7,1.9
436,Nehuén Pérez,ARG,Dif,Udinese,23,2000,34,34,"3,058",0,0,0,7,1,1.3,1.3,0.2
437,Mattia Perin,ITA,Por,Juventus,31,1992,2,2,180,0,0,0,0,0,0.0,0.0,0.0
438,Samuele Perisan,ITA,Por,Empoli,26,1997,1,1,90,0,0,0,0,0,0.0,0.0,0.0
439,Matteo Pessina,ITA,Cen,Monza,27,1997,35,35,"3,042",6,3,9,5,1,6.2,2.3,1.1
440,Andrea Petagna,ITA,Att,Cagliari,28,1995,18,13,995,1,1,2,2,0,1.6,1.6,1.0
441,Giuseppe Pezzella,ITA,Dif,Empoli,26,1997,18,13,995,0,0,0,4,0,0.2,0.2,0.5
442,Roberto Piccoli,ITA,Att,Empoli,23,2001,2,0,39,0,0,0,0,0,0.1,0.1,0.0
444,Santiago Pierotti,ARG,Cen,Lecce,23,2001,9,0,127,0,2,2,0,0,0.4,0.4,1.0
445,Niccolò Pierozzi,ITA,Dif,Salernitana,22,2001,10,9,691,1,0,1,5,0,0.1,0.1,0.0
446,Andrea Pinamonti,ITA,Att,Sassuolo,24,1999,36,36,"2,978",11,1,12,3,0,8.7,6.4,1.9
447,Lorenzo Pirola,ITA,Dif,Salernitana,22,2002,26,23,"1,942",1,0,1,4,0,0.9,0.9,0.0
448,Niccolò Pisilli,ITA,Cen,Roma,19,2004,1,0,10,0,0,0,0,0,0.0,0.0,0.0
449,Tommaso Pobega,ITA,Cen,Milan,24,1999,10,3,306,0,0,0,0,0,0.2,0.2,0.2
450,Paul Pogba,FRA,Cen,Juventus,31,1993,2,0,54,0,0,0,0,0,0.0,0.0,0.0
451,Matteo Politano,ITA,Att,Napoli,30,1993,35,29,"2,240",8,6,14,2,1,7.0,4.6,6.4
452,Marin Pongračić,CRO,Dif,Lecce,26,1997,34,34,"3,039",0,0,0,10,1,1.2,1.2,0.3
453,Stefan Posch,AUT,Dif,Bologna,27,1997,30,28,"2,319",1,2,3,7,0,1.2,1.2,2.1
454,Matteo Prati,ITA,Cen,Cagliari,20,2003,24,18,"1,858",0,0,0,4,0,1.9,1.9,0.4
455,Ivan Provedel,ITA,Por,Lazio,30,1994,28,28,"2,519",0,0,0,0,0,0.0,0.0,0.0
456,Christian Pulisic,USA,Att,Milan,25,1998,34,30,"2,422",12,7,19,2,0,7.4,7.4,4.4
457,George Pușcaș,ROU,Att,Genoa,28,1996,8,1,191,0,0,0,0,0,2.1,2.1,0.1
458,Domingos Quina,POR,Cen,Udinese,24,1999,2,0,13,0,0,0,0,0,0.0,0.0,0.0
459,Adrien Rabiot,FRA,Cen,Juventus,29,1995,30,29,"2,581",5,3,8,8,0,3.5,3.4,4.1
460,Uroš Račić,SRB,Cen,Sassuolo,26,1998,20,7,756,1,1,2,1,0,0.8,0.8,0.3
461,Nemanja Radonjić,SRB,Cen,Torino,28,1996,10,4,374,3,0,3,1,0,1.7,1.7,0.2
462,Boris Radunović,SRB,Por,Cagliari,27,1996,7,7,630,0,0,0,0,0,0.0,0.0,0.0
463,Hamza Rafia,TUN,Cen,Lecce,25,1999,26,17,"1,182",1,0,1,4,0,0.8,0.8,0.7
464,Ylber Ramadani,ALB,Cen,Lecce,28,1996,32,32,"2,798",1,0,1,13,0,1.0,1.0,0.5
465,Luca Ranieri,ITA,Dif,Fiorentina,25,1999,24,21,"1,885",2,1,3,13,0,0.9,0.9,0.4
466,Filippo Ranocchia,ITA,Cen,Empoli,23,2001,9,5,476,0,0,0,3,0,0.2,0.2,0.5
467,Giacomo Raspadori,ITA,Att,Napoli,24,2000,35,14,"1,524",5,3,8,0,0,5.6,4.2,3.7
468,Federico Ravaglia,ITA,Por,Bologna,24,1999,5,5,450,0,0,0,0,0,0.0,0.0,0.0
469,Tijjani Reijnders,NED,Cen,Milan,25,1998,34,31,"2,640",3,3,6,8,0,3.2,3.2,3.7
470,Reinier,BRA,Cen,Frosinone,22,2002,20,13,"1,048",2,2,4,3,0,1.2,1.2,1.9
471,Mateo Retegui,ITA,Att,Genoa,25,1999,28,25,"2,126",7,2,9,5,0,5.7,4.9,0.7
472,Samuele Ricci,ITA,Cen,Torino,22,2001,30,26,"2,215",1,2,3,7,1,1.3,1.3,2.2
473,Ricardo Rodríguez,SUI,Dif,Torino,31,1992,34,33,"2,712",0,1,1,4,0,0.3,0.3,1.2
474,Alessio Romagnoli,ITA,Dif,Lazio,29,1995,28,25,"2,321",0,0,0,9,0,0.5,0.5,0.2
475,Simone Romagnoli,ITA,Dif,Frosinone,34,1990,31,28,"2,535",1,1,2,6,0,1.2,1.2,0.4
476,Luka Romero,ARG,Att,Milan,19,2004,4,0,88,0,0,0,1,0,0.1,0.1,0.0
477,Marten de Roon,NED,Cen,Atalanta,33,1991,30,29,"2,599",0,5,5,10,0,0.6,0.6,1.2
478,Nicolò Rovella,ITA,Cen,Lazio,22,2001,21,14,"1,201",0,1,1,6,0,0.6,0.6,0.4
479,Amir Rrahmani,KVX,Dif,Napoli,30,1994,29,29,"2,510",2,0,2,5,0,1.9,1.9,0.9
480,Ruan,BRA,Dif,Sassuolo,24,1999,25,15,"1,455",0,0,0,7,1,0.5,0.5,0.6
481,Daniele Rugani,ITA,Dif,Juventus,29,1994,16,12,"1,097",2,0,2,2,0,1.6,1.6,0.4
482,Matteo Ruggeri,ITA,Dif,Atalanta,21,2002,32,27,"2,331",0,4,4,3,0,0.5,0.5,1.7
483,Mário Rui,POR,Dif,Napoli,32,1991,21,14,"1,205",0,2,2,7,1,0.1,0.1,1.9
484,Stefano Sabelli,ITA,Dif,Genoa,31,1993,31,29,"2,367",0,1,1,5,0,0.7,0.7,1.9
485,Alexis Saelemaekers,BEL,Att,Bologna,24,1999,28,20,"1,790",4,2,6,7,1,2.6,2.6,2.8
486,Lazar Samardzic,SRB,Cen,Udinese,22,2002,32,26,"2,192",5,2,7,3,0,2.6,2.6,5.0
487,Junior Sambia,FRA,Dif,Salernitana,27,1996,16,8,852,0,1,1,3,0,0.5,0.5,0.4
488,Antonio Sanabria,PAR,Att,Torino,28,1996,33,23,"2,088",5,0,5,2,0,9.2,7.6,1.4
489,Renato Sanches,POR,Cen,Roma,26,1997,7,1,146,1,0,1,2,0,0.1,0.1,0.2
490,Alexis Sánchez,CHI,Att,Inter,35,1988,21,6,714,2,4,6,0,0,2.9,2.1,2.8
491,Alex Sandro,BRA,Dif,Juventus,33,1991,15,7,648,0,0,0,1,0,0.2,0.2,0.9
492,Nicola Sansone,ITA,Att,Lecce,32,1991,25,4,767,2,2,4,4,0,2.8,2.8,1.3
493,Riccardo Saponara,ITA,Att,Hellas Verona,32,1991,12,3,342,0,0,0,0,0,0.1,0.1,0.2
494,Zanos Savva,CYP,Dif,Torino,18,2005,1,0,22,1,0,1,0,0,0.2,0.2,0.0
495,Saba Sazonov,GEO,Dif,Torino,22,2002,12,2,356,0,0,0,2,0,0.2,0.2,0.0
496,Giorgio Scalvini,ITA,Dif,Atalanta,20,2003,30,28,"2,281",0,3,3,3,0,1.3,1.3,1.0
497,Gianluca Scamacca,ITA,Att,Atalanta,25,1999,26,15,"1,285",10,5,15,1,0,5.8,5.8,2.8
498,Perr Schuurs,NED,Dif,Torino,24,1999,9,9,770,1,0,1,2,0,0.7,0.7,0.0
499,Simone Scuffet,ITA,Por,Cagliari,27,1996,29,29,"2,610",0,0,0,3,0,0.0,0.0,0.0
500,Demba Seck,SEN,Cen,Torino,23,2001,9,5,425,0,0,0,1,0,0.3,0.3,0.1
502,Nikola Sekulov,ITA,Att,Juventus,22,2002,1,0,11,0,0,0,0,0,0.0,0.0,0.0
503,Vivaldo Semedo,POR,Att,Udinese,19,2005,1,0,12,0,0,0,0,0,0.0,0.0,0.0
504,Stefano Sensi,ITA,Cen,Inter,28,1995,4,0,46,0,1,1,0,0,0.1,0.1,0.1
505,Suat Serdar,GER,Cen,Hellas Verona,27,1997,23,17,"1,479",0,2,2,6,0,0.7,0.7,1.2
506,Andres Sfait,ROU,Dif,Salernitana,19,2004,1,0,14,0,0,0,0,0,0.0,0.0,0.0
507,Stephan El Shaarawy,ITA,Att,Roma,31,1992,31,19,"1,698",3,3,6,2,0,2.5,2.5,2.2
508,Eldor Shomurodov,UZB,Att,Cagliari,28,1995,21,9,891,3,3,6,1,0,3.3,3.3,1.7
509,Steven Shpendi,ALB,Att,Empoli,20,2003,12,4,411,0,1,1,0,0,0.4,0.4,0.5
510,Marco Silvestri,ITA,Por,Udinese,33,1991,17,17,"1,530",0,0,0,0,0,0.0,0.0,0.0
511,Giovanni Simeone,ARG,Att,Napoli,28,1995,26,6,680,1,0,1,3,0,3.3,3.3,0.6
512,Jan-Carlo Simic,SRB,Dif,Milan,19,2005,4,0,146,1,0,1,0,0,0.6,0.6,0.0
513,Leo Skiri Østigård,NOR,Dif,Napoli,24,1999,23,16,"1,445",1,0,1,3,0,0.6,0.6,0.1
514,Łukasz Skorupski,POL,Por,Bologna,33,1991,31,31,"2,790",0,0,0,2,0,0.0,0.0,0.0
515,Chris Smalling, ENG,Dif,Roma,34,1989,8,4,390,0,0,0,0,0,0.0,0.0,0.4
516,Andrea Sodero,ITA,Cen,Empoli,19,2004,1,0,5,0,0,0,0,0,0.0,0.0,0.0
517,Ola Solbakken,NOR,Att,Roma,25,1998,1,0,23,0,0,0,0,0,0.0,0.0,0.0
518,Yann Sommer,SUI,Por,Inter,35,1988,33,33,"2,970",0,0,0,1,0,0.0,0.0,0.0
519,Brandon Soppy,FRA,Dif,Torino,22,2002,5,2,178,0,0,0,0,0,0.0,0.0,0.1
520,Alessandro Sorrentino,ITA,Por,Monza,22,2002,5,3,368,0,0,0,0,0,0.0,0.0,0.0
521,Riccardo Sottil,ITA,Att,Fiorentina,24,1999,22,13,"1,103",2,3,5,1,0,2.6,2.6,2.5
522,Matìas Soulé,ARG,Att,Frosinone,21,2003,34,34,"2,948",11,3,14,3,0,10.1,5.3,6.2
523,Djed Spence, ENG,Dif,Genoa,23,2000,14,7,741,0,0,0,1,0,0.2,0.2,0.2
524,Leonardo Spinazzola,ITA,Dif,Roma,31,1993,24,15,"1,312",1,2,3,0,0,0.2,0.2,3.0
525,Marco Sportiello,ITA,Por,Milan,32,1992,6,6,540,0,0,0,0,0,0.0,0.0,0.0
526,Trivante Stewart,JAM,Att,Salernitana,24,2000,4,0,100,0,0,0,0,0,0.1,0.1,0.1
527,Gabriel Strefezza,BRA,Att,Lecce,27,1997,19,13,"1,112",1,0,1,4,0,2.5,1.7,1.2
528,Kevin Strootman,NED,Cen,Genoa,34,1990,25,14,"1,113",0,2,2,4,0,0.1,0.1,1.3
529,Isaac Success,NGA,Att,Udinese,28,1996,26,8,874,1,1,2,4,0,2.7,1.9,1.1
530,Ibrahim Sulemana,GHA,Cen,Cagliari,20,2003,19,15,"1,237",2,0,2,3,0,0.6,0.6,0.1
531,Tomáš Suslov,SVK,Cen,Hellas Verona,21,2002,30,21,"1,930",1,4,5,7,0,3.0,2.1,2.2
532,Mile Svilar,SRB,Por,Roma,24,1999,13,13,"1,170",0,0,0,1,0,0.0,0.0,0.0
533,Karol Świderski,POL,Att,Hellas Verona,27,1997,14,3,494,2,0,2,0,0,1.7,1.7,0.4
534,Wojciech Szczęsny,POL,Por,Juventus,34,1990,34,34,"3,060",0,0,0,1,0,0.0,0.0,0.0
535,Przemysław Szymiński,POL,Cen,Frosinone,29,1994,1,0,9,0,0,0,0,0,0.0,0.0,0.0
536,Adrien Tameze,CMR,Dif,Torino,30,1994,27,23,"1,985",0,2,2,6,1,0.4,0.4,2.2
537,Elayis Tavsan,NED,Cen,Hellas Verona,23,2001,2,0,33,0,0,0,0,0,0.0,0.0,0.0
538,Loum Tchaouna,FRA,Att,Salernitana,20,2003,31,21,"1,920",4,3,7,3,0,2.5,2.5,1.4
539,Jackson Tchatchoua,CMR,Dif,Hellas Verona,22,2001,24,17,"1,545",0,2,2,2,0,0.0,0.0,1.3
540,Filippo Terracciano,ITA,Dif,Hellas Verona,21,2003,18,14,"1,296",0,1,1,1,0,0.3,0.3,1.0
542,Pietro Terracciano,ITA,Por,Fiorentina,34,1990,31,31,"2,790",0,0,0,3,0,0.0,0.0,0.2
543,Florian Thauvin,FRA,Att,Udinese,31,1993,29,19,"1,710",5,3,8,4,0,4.7,3.9,4.2
544,Malick Thiaw,GER,Dif,Milan,22,2001,20,18,"1,529",0,1,1,5,1,0.6,0.6,0.1
545,Morten Thorsby,NOR,Cen,Genoa,28,1996,22,8,"1,043",2,2,4,2,0,1.7,1.7,1.3
546,Kristian Thorstvedt,NOR,Cen,Sassuolo,25,1999,32,28,"2,251",6,1,7,6,0,4.4,4.4,1.5
547,Marcus Thuram,FRA,Att,Inter,26,1997,33,32,"2,507",13,7,20,3,0,13.6,13.6,3.6
548,Antonio Tikvić,CRO,Dif,Udinese,20,2004,1,0,1,0,0,0,0,0,0.0,0.0,0.0
549,Jeremy Toljan,GER,Dif,Sassuolo,29,1994,24,24,"2,067",0,5,5,1,0,0.6,0.6,1.6
550,Rafael Tolói,ITA,Dif,Atalanta,33,1990,15,7,711,0,0,0,5,1,0.1,0.1,0.1
551,Fikayo Tomori, ENG,Dif,Milan,26,1997,24,22,"1,944",4,0,4,7,1,3.6,3.6,0.1
552,Ahmed Touba,ALG,Dif,Lecce,26,1998,6,3,277,0,0,0,1,0,0.0,0.0,0.0
553,Chaka Traorè,CIV,Att,Milan,19,2004,2,0,20,1,0,1,0,0,0.1,0.1,0.0
554,Stefano Turati,ITA,Por,Frosinone,22,2001,31,31,"2,745",0,0,0,0,0,0.0,0.0,0.0
555,Kacper Urbanski,POL,Att,Bologna,19,2004,20,8,826,0,0,0,2,0,0.9,0.9,0.6
556,Emanuele Valeri,ITA,Dif,Frosinone,25,1998,14,12,998,0,1,1,3,0,0.7,0.7,1.6
557,Johan Vásquez,MEX,Dif,Genoa,25,1998,35,30,"2,670",1,1,2,6,0,1.8,1.8,0.7
558,Matías Vecino,URU,Cen,Lazio,32,1991,29,6,"1,011",6,1,7,8,0,3.6,3.6,0.4
559,Lorenzo Venuti,ITA,Dif,Lecce,29,1995,13,3,302,0,0,0,1,0,0.1,0.1,0.1
560,Simone Verdi,ITA,Att,Torino,31,1992,1,0,4,0,0,0,0,0,0.0,0.0,0.1
561,Emanuel Vignato,ITA,Cen,Salernitana,23,2000,7,3,273,0,1,1,1,0,0.0,0.0,0.3
562,Samuele Vignato,ITA,Cen,Monza,20,2004,10,3,343,1,0,1,2,0,1.7,1.7,0.2
563,Matías Viña,URU,Dif,Sassuolo,26,1997,15,13,"1,014",0,3,3,1,0,0.3,0.3,1.4
564,Rúben Vinagre,POR,Dif,Hellas Verona,25,1999,10,1,191,0,0,0,0,0,0.0,0.0,0.2
565,Nicolas Viola,ITA,Cen,Cagliari,34,1989,24,10,"1,093",5,2,7,3,0,3.0,2.3,3.0
566,Mattia Viti,ITA,Dif,Sassuolo,22,2002,14,11,889,0,0,0,0,0,0.3,0.3,0.0
567,Vitinha,POR,Att,Genoa,24,2000,7,1,199,1,0,1,2,0,0.5,0.5,0.1
568,Dušan Vlahović,SRB,Att,Juventus,24,2000,31,26,"2,226",16,4,20,8,1,16.6,13.3,2.3
569,Nikola Vlašić,CRO,Cen,Torino,26,1997,33,30,"2,608",3,2,5,3,0,2.4,2.4,2.9
570,Alessandro Vogliacco,ITA,Dif,Genoa,25,1998,18,12,999,0,1,1,4,0,0.4,0.4,0.5
571,Mërgim Vojvoda,KVX,Dif,Torino,29,1995,26,14,"1,259",0,3,3,3,0,0.4,0.4,1.4
572,Cristian Volpato,ITA,Cen,Sassuolo,20,2003,21,4,571,1,0,1,0,0,0.5,0.5,1.3
573,Stefan de Vrij,NED,Dif,Inter,32,1992,25,17,"1,586",1,0,1,0,0,0.6,0.6,0.3
574,Walace,BRA,Cen,Udinese,29,1995,35,35,"3,062",2,0,2,7,0,0.8,0.8,1.1
575,Sebastian Walukiewicz,POL,Dif,Empoli,24,2000,25,23,"1,978",0,0,0,6,0,0.1,0.1,0.1
576,Timothy Weah,USA,Dif,Juventus,24,2000,28,11,"1,123",0,1,1,5,0,1.5,1.5,1.1
577,Shon Weissman,ISR,Att,Salernitana,28,1996,10,4,419,1,0,1,0,0,1.0,1.0,0.1
578,Mateusz Wieteska,POL,Dif,Cagliari,27,1997,19,10,965,0,1,1,5,1,0.3,0.3,0.6
579,Kenan Yıldız,TUR,Att,Juventus,19,2005,25,8,832,1,0,1,2,0,1.4,1.4,0.9
580,Mattia Zaccagni,ITA,Att,Lazio,28,1995,26,22,"1,796",5,1,6,7,0,4.6,4.6,2.8
581,Nicola Zalewski,POL,Dif,Roma,22,2002,21,9,890,0,1,1,3,1,0.7,0.7,1.5
582,Andre-Frank Zambo Anguissa,CMR,Cen,Napoli,28,1995,32,30,"2,606",0,2,2,2,0,3.3,3.2,2.9
583,Alessandro Zanoli,ITA,Dif,Salernitana,23,2000,15,8,750,0,2,2,3,0,0.0,0.0,1.7
585,Duván Zapata,COL,Att,Torino,33,1991,33,32,"2,706",11,4,15,2,0,10.5,10.5,3.0
587,Gabriele Zappa,ITA,Dif,Cagliari,24,1999,36,23,"2,381",1,3,4,2,0,1.3,1.3,3.2
588,Davide Zappacosta,ITA,Dif,Atalanta,31,1992,29,21,"1,732",2,1,3,5,0,2.1,2.1,1.4
589,Oier Zarraga,ESP,Cen,Udinese,25,1999,14,4,400,2,0,2,0,0,0.6,0.6,0.0
590,Jordan Zemura,ZIM,Dif,Udinese,24,1999,26,10,"1,034",1,0,1,1,0,0.8,0.8,0.4
591,Alessio Zerbin,ITA,Att,Monza,25,1999,11,7,614,0,1,1,0,0,0.5,0.5,0.8
593,Kevin Zeroli,ITA,Cen,Milan,19,2005,3,0,28,0,0,0,0,0,0.0,0.0,0.0
594,Piotr Zieliński,POL,Cen,Napoli,29,1994,28,23,"1,924",3,2,5,1,0,2.6,1.8,3.4
595,David Zima,CZE,Dif,Torino,23,2000,5,0,91,0,0,0,0,0,0.0,0.0,0.0
596,Joshua Zirkzee,NED,Att,Bologna,22,2001,34,32,"2,759",11,4,15,8,0,9.0,7.4,5.2
597,Nadir Zortea,ITA,Dif,Frosinone,24,1999,12,12,"1,079",1,5,6,3,0,0.3,0.3,2.8
599,Szymon Żurkowski,POL,Cen,Empoli,26,1997,13,10,868,4,0,4,4,0,1.0,1.0,0.1
600,Milan Đurić,BIH,Att,Hellas Verona,33,1990,20,13,"1,204",5,1,6,2,0,4.5,2.2,1.2
602,Mateusz Łęgowski,POL,Cen,Salernitana,21,2003,28,10,"1,136",0,0,0,3,0,0.2,0.2,0.2
